../Makin/Makin_processed_npy/ batch size 128 epochs 50 sequence len 256,
trian loss, train r2 score
0.8093,0.1806
0.6376,0.3546
0.5715,0.4237
0.5388,0.4563
0.5132,0.4788
0.4967,0.4971
0.4786,0.5158
0.4687,0.5272
0.4612,0.5337
0.4457,0.5469
0.4377,0.5573
0.4317,0.5636
0.4242,0.5715
0.4188,0.5776
0.4134,0.5849
0.404,0.5923
0.3957,0.6003
0.3915,0.6054
0.3869,0.6092
0.3803,0.6169
0.3748,0.6214
0.3703,0.6275
0.3701,0.6251
0.3631,0.635
0.3565,0.6395
0.351,0.6442
0.3444,0.6503
0.3395,0.6565
0.3356,0.6598
0.3331,0.6644
0.3291,0.6665
0.3242,0.6714
0.3209,0.6723
0.3175,0.6766
0.3139,0.6832
0.3105,0.6867
0.3044,0.6907
0.3049,0.6918
0.2981,0.6974
0.2926,0.7027
0.2918,0.7031
0.2849,0.7099
0.2826,0.7121
0.2807,0.7146
0.2784,0.7176
0.2768,0.7185
0.2732,0.7215
0.2734,0.7224
0.2729,0.7225
0.2645,0.7305
test loss, test r2 score
0.474,0.4904
../Makin/Makin_origin_npy/ batch size 128 epochs 50 sequence len 256,
trian loss, train r2 score
0.7662,0.1909
0.5991,0.3683
0.5403,0.429
0.5082,0.4605
0.4867,0.486
0.4746,0.4987
0.4594,0.5175
0.4438,0.5324
0.4372,0.5375
0.4285,0.5481
0.4213,0.5563
0.4137,0.5671
0.4069,0.5724
0.3999,0.5792
0.3941,0.5832
0.3863,0.5929
0.381,0.5976
0.3752,0.6031
0.3711,0.6087
0.3654,0.6143
0.3607,0.6203
0.3543,0.6234
0.3544,0.6275
0.3468,0.6343
0.3403,0.6395
0.3352,0.6456
0.33,0.6494
0.3248,0.6545
0.3205,0.6611
0.3178,0.663
0.311,0.6687
0.3076,0.6734
0.3064,0.6733
0.3032,0.6782
0.2985,0.6834
0.2933,0.6884
0.2906,0.6911
0.2871,0.694
0.2868,0.6964
0.279,0.7037
0.2798,0.7029
0.2766,0.7063
0.2719,0.7103
0.2677,0.7144
0.2661,0.7149
0.265,0.7169
0.2616,0.7215
0.2562,0.7249
0.2551,0.7273
0.2566,0.7272
test loss, test r2 score
0.473,0.4844
../Makin/Makin_origin_npy/ batch size 128 epochs 50 sequence len 256
trian loss, train r2 score
